,US S&P 500
2004-03-09,126.16665384444075
2004-03-10,124.23481679738586
2004-03-11,122.38288246337903
2004-03-12,123.95799168849817
2004-03-15,122.19311351988998
2004-03-16,122.8632435372607
2004-03-17,124.30365190491035
2004-03-18,124.20417842599751
2004-03-19,122.81411416640009
2004-03-22,121.07056138404455
2004-03-23,121.01508838562776
2004-03-24,120.73691356874939
2004-03-25,122.63595271163081
2004-03-26,122.67792863014087
2004-03-29,124.16760133945021
2004-03-30,124.65606066127593
2004-03-31,124.52554389857752
2004-04-01,125.25371135954735
2004-04-02,126.31701131460207
2004-04-05,127.2781383747626
2004-04-06,126.93355792474297
2004-04-07,126.32834886172375
2004-04-08,126.05746246799505
2004-04-09,126.05746246799505
2004-04-12,126.7366355289033
2004-04-13,125.00104602369275
2004-04-14,124.84933884554077
2004-04-15,124.81357158378785
2004-04-16,125.47182417084062
2004-04-19,125.61475824705323
2004-04-20,123.63176726715174
2004-04-21,124.33307553910711
2004-04-22,126.16759864003421
2004-04-23,126.13952471382817
2004-04-26,125.7011395584565
2004-04-27,125.96851671140948
2004-04-28,124.11212834103343
2004-04-29,123.1700321635414
2004-04-30,122.43133698024431
2004-05-03,123.67023394488601
2004-05-04,123.85068990323941
2004-05-05,124.09188272117326
2004-05-06,123.28246283916475
2004-05-07,121.61557347067959
2004-05-10,120.2345522546197
2004-05-11,121.21484516824783
2004-05-12,121.57643193895001
2004-05-13,121.45441833659285
2004-05-14,121.31566835515135
2004-05-17,119.94922398539076
2004-05-18,120.84381044161094
2004-05-19,120.53013830457779
2004-05-20,120.64891260775732
2004-05-21,121.10673355819468
2004-05-24,121.29704238488002
2004-05-25,123.27126026284212
2004-05-26,123.44726218482629
2004-05-27,124.15356437634716
2004-05-28,124.07609113768234
2004-05-31,124.07609113768234
2004-06-01,124.13993232564134
2004-06-02,124.56239092672298
2004-06-03,123.58655204946409
2004-06-04,124.3193085176022
2004-06-07,126.36627565626175
2004-06-08,126.48127077706737
2004-06-09,125.27031276783266
2004-06-10,125.84312883907567
2004-06-11,125.84312883907567
2004-06-14,124.61678415874724
2004-06-15,125.51906395051431
2004-06-16,125.53431565080892
2004-06-17,125.35993337841359
2004-06-18,125.65106539200244
2004-06-21,125.20674152147183
2004-06-22,125.76484577561644
2004-06-23,126.74432886445017
2004-06-24,126.48747943382448
2004-06-25,126.08445662780856
2004-06-28,125.59208315280988
2004-06-29,125.86067504295444
2004-06-30,126.38881577970605
2004-07-01,125.0721756348014
2004-07-02,124.51515114704932
2004-07-05,124.51515114704932
2004-07-06,123.602343632955
2004-07-07,123.86675142832846
2004-07-08,122.86877734002249
2004-07-09,123.28597207994048
2004-07-12,123.41014521508271
2004-07-13,123.51380278876664
2004-07-14,123.07096359702578
2004-07-15,122.51623361285786
2004-07-16,122.00226481000833
2004-07-19,121.88929425118874
2004-07-20,122.78118129142759
2004-07-21,121.03668371347858
2004-07-22,121.33510415021709
2004-07-23,120.0866242588416
2004-07-26,120.01131055296186
